        TemplateName                         BBox     Score  Cluster  HexValue
0         trebleclef            (90, 261, 34, 88)       1.0        0       255
1             cmajor        Default Key Signature  1.000000        0         0
2   44_timesignature           (128, 260, 20, 60)  0.999334        0        68
3          200_tempo           (140, 188, 52, 25)  0.954364        0       200
4              forte           (157, 318, 27, 30)  0.998497        0       512
5   quarternote_lowe           (161, 262, 22, 63)   0.99947        0        34
6   quarternote_lowe           (220, 262, 22, 63)  0.999389        0        34
7   quarternote_lowf           (279, 260, 22, 58)  0.999326        0        50
8   quarternote_lowg           (337, 257, 22, 63)  0.999055        0        66
9   quarternote_lowg           (413, 257, 22, 63)  0.995933        0        66
10  quarternote_lowf           (473, 260, 22, 58)  0.996203        0        50
11  quarternote_lowe           (532, 262, 22, 63)  0.996497        0        34
12  quarternote_lowd           (591, 266, 22, 70)  0.997013        0        18
13  quarternote_lowc           (667, 266, 26, 73)   0.98511        0         2
14  quarternote_lowc           (726, 266, 26, 73)  0.985722        0         2
15  quarternote_lowd           (785, 266, 22, 70)  0.984635        0        18
16  quarternote_lowe           (844, 262, 22, 63)   0.98418        0        34
17  quarternote_lowe           (919, 262, 22, 63)  0.968564        0        34
18        eighthrest           (976, 260, 20, 65)  0.972562        0         6
19   eighthnote_lowd          (1026, 265, 30, 65)  0.979321        0        17
20     halfnote_lowd          (1061, 265, 21, 70)  0.952543        0        19
21        trebleclef            (90, 420, 34, 88)       1.0        1       255
22            cmajor        Default Key Signature  1.000000        1         0
23  44_timesignature  Carried-Over Time Signature  1.000000        1        68
24         200_tempo           Carried-over Tempo  1.000000        1       200
25             forte           (127, 477, 27, 30)  0.985454        1       512
26  quarternote_lowe           (131, 421, 22, 63)  0.992352        1        34
27  quarternote_lowe           (191, 421, 22, 63)   0.98007        1        34
28  quarternote_lowf           (252, 419, 22, 58)  0.967611        1        50
29  quarternote_lowg           (311, 416, 22, 63)  0.989594        1        66
30  quarternote_lowg           (388, 416, 22, 63)  0.989736        1        66
31  quarternote_lowf           (449, 419, 22, 58)  0.999557        1        50
32  quarternote_lowe           (509, 421, 22, 63)  0.994549        1        34
33  quarternote_lowd           (569, 425, 22, 70)  0.981803        1        18
34  quarternote_lowc           (646, 425, 26, 73)  0.984514        1         2
35  quarternote_lowc           (706, 425, 26, 73)  0.971802        1         2
36  quarternote_lowd           (767, 425, 22, 70)   0.98796        1        18
37  quarternote_lowe           (827, 421, 22, 63)  0.998908        1        34
38  quarternote_lowd           (904, 425, 22, 70)  0.998995        1        18
39        eighthrest           (962, 419, 20, 65)  0.999718        1         6
40   eighthnote_lowc          (1011, 427, 34, 71)  0.996347        1         1
41     halfnote_lowc          (1049, 427, 27, 76)  0.993753        1         3
